task_id,task_type,weather,operator_skill,machine_age_years,estimated_minutes,actual_minutes,provenance,air_temperature_c,soil_type,soil_moisture_percent_vwc,machine_id,operator_id,started_at,generator_version,generation_seed
T0152,Earth Excavation,Rainy,Intermediate,4.6,57.0,77.0,synthetic,32.2,Clay,50.7,EXC002,OP1001,2025-05-17T17:03:00Z,data-001-v1,42
T0359,Material Loading,Rainy,Intermediate,5.0,25.0,39.0,synthetic,30.7,Clay,26.0,EXC002,OP1001,2025-05-18T06:23:00Z,data-001-v1,42
T0288,Trenching,Sunny,Expert,2.1,46.0,37.0,synthetic,25.9,Loam,43.4,EXC001,OP1001,2025-05-18T07:01:00Z,data-001-v1,42
T0250,Trenching,Sunny,Intermediate,6.6,42.0,47.0,synthetic,32.5,Loam,39.0,EXC002,OP1001,2025-05-18T07:12:00Z,data-001-v1,42
T0598,Demolition,Windy,Expert,6.3,98.0,100.0,synthetic,19.1,Clay,54.6,EXC002,OP2001,2025-05-18T07:33:00Z,data-001-v1,42
T0101,Earth Excavation,Sunny,Beginner,5.9,60.0,75.0,synthetic,19.7,Sand,37.4,EXC002,OP2001,2025-05-18T09:26:00Z,data-001-v1,42
T0236,Trenching,Windy,Beginner,2.0,48.0,88.0,synthetic,12.1,Clay,41.3,EXC001,OP1001,2025-05-18T11:21:00Z,data-001-v1,42
T0277,Trenching,Windy,Intermediate,2.1,50.0,57.0,synthetic,44.1,Loam,47.6,EXC001,OP2001,2025-05-18T12:06:00Z,data-001-v1,42
T0410,Grading,Sunny,Beginner,1.8,37.0,48.0,synthetic,27.6,Clay,11.7,EXC001,OP2001,2025-05-18T13:09:00Z,data-001-v1,42
T0466,Grading,Windy,Intermediate,4.8,36.0,39.0,synthetic,9.3,Sand,50.2,EXC002,OP1001,2025-05-18T13:47:00Z,data-001-v1,42
T0561,Demolition,Windy,Intermediate,3.1,74.0,109.0,synthetic,28.3,Sand,17.9,EXC001,OP1001,2025-05-18T14:20:00Z,data-001-v1,42
T0296,Trenching,Rainy,Expert,6.2,46.0,53.0,synthetic,26.9,Loam,43.3,EXC002,OP2001,2025-05-18T15:28:00Z,data-001-v1,42
T0279,Trenching,Windy,Intermediate,2.8,40.0,60.0,synthetic,26.1,Clay,7.6,EXC001,OP2001,2025-05-18T15:33:00Z,data-001-v1,42
T0328,Material Loading,Rainy,Beginner,2.5,31.0,53.0,synthetic,31.6,Gravel,35.2,EXC001,OP1001,2025-05-18T16:46:00Z,data-001-v1,42
T0149,Earth Excavation,Rainy,Intermediate,5.2,57.0,57.0,synthetic,18.9,Sand,60.2,EXC002,OP2001,2025-05-18T17:45:00Z,data-001-v1,42
T0329,Material Loading,Cloudy,Beginner,2.1,32.0,47.0,synthetic,37.1,Loam,44.9,EXC001,OP1001,2025-05-19T06:12:00Z,data-001-v1,42
T0538,Demolition,Sunny,Intermediate,3.7,84.0,86.0,synthetic,20.0,Loam,54.2,EXC001,OP1001,2025-05-19T06:33:00Z,data-001-v1,42
T0207,Earth Excavation,Windy,Expert,5.3,55.0,55.0,synthetic,33.4,Sand,36.3,EXC002,OP1001,2025-05-19T08:08:00Z,data-001-v1,42
T0195,Earth Excavation,Cloudy,Expert,5.0,63.0,79.0,synthetic,37.7,Clay,13.6,EXC002,OP2001,2025-05-19T09:07:00Z,data-001-v1,42
T0334,Material Loading,Cloudy,Beginner,2.1,29.0,24.0,synthetic,34.7,Clay,42.0,EXC001,OP2001,2025-05-19T09:54:00Z,data-001-v1,42
T0412,Grading,Sunny,Beginner,6.9,39.0,42.0,synthetic,4.6,Sand,27.9,EXC002,OP1001,2025-05-19T12:04:00Z,data-001-v1,42
T0283,Trenching,Sunny,Expert,2.4,46.0,42.0,synthetic,22.0,Clay,36.6,EXC001,OP1001,2025-05-19T13:01:00Z,data-001-v1,42
T0514,Demolition,Rainy,Beginner,2.8,94.0,108.0,synthetic,34.1,Loam,64.0,EXC001,OP2001,2025-05-19T15:25:00Z,data-001-v1,42
T0161,Earth Excavation,Cloudy,Intermediate,6.7,59.0,79.0,synthetic,3.2,Gravel,15.5,EXC002,OP2001,2025-05-19T16:37:00Z,data-001-v1,42
T0172,Earth Excavation,Windy,Intermediate,6.1,61.0,82.0,synthetic,12.9,Loam,30.9,EXC002,OP1001,2025-05-19T17:39:00Z,data-001-v1,42
T0517,Demolition,Rainy,Beginner,3.8,86.0,144.0,synthetic,22.7,Clay,54.8,EXC001,OP2001,2025-05-19T17:59:00Z,data-001-v1,42
T0221,Trenching,Rainy,Beginner,3.8,46.0,67.0,synthetic,21.0,Loam,23.7,EXC001,OP2001,2025-05-20T07:02:00Z,data-001-v1,42
T0380,Material Loading,Sunny,Expert,2.0,31.0,28.0,synthetic,28.1,Clay,34.4,EXC001,OP1001,2025-05-20T07:48:00Z,data-001-v1,42
T0444,Grading,Sunny,Intermediate,2.9,39.0,37.0,synthetic,30.8,Loam,11.5,EXC001,OP2001,2025-05-20T07:55:00Z,data-001-v1,42
T0462,Grading,Cloudy,Intermediate,5.6,34.0,43.0,synthetic,12.1,Clay,46.0,EXC002,OP1001,2025-05-20T09:11:00Z,data-001-v1,42
T0473,Grading,Sunny,Expert,2.5,36.0,34.0,synthetic,19.5,Loam,12.2,EXC001,OP1001,2025-05-20T10:12:00Z,data-001-v1,42
T0360,Material Loading,Rainy,Intermediate,3.0,32.0,34.0,synthetic,10.6,Sand,33.4,EXC001,OP2001,2025-05-20T10:31:00Z,data-001-v1,42
T0186,Earth Excavation,Rainy,Expert,5.7,56.0,73.0,synthetic,32.9,Gravel,55.8,EXC002,OP1001,2025-05-20T12:55:00Z,data-001-v1,42
T0552,Demolition,Rainy,Intermediate,4.6,95.0,125.0,synthetic,33.8,Sand,62.8,EXC002,OP2001,2025-05-20T13:07:00Z,data-001-v1,42
T0274,Trenching,Windy,Intermediate,6.7,50.0,71.0,synthetic,17.1,Clay,35.5,EXC002,OP1001,2025-05-20T15:42:00Z,data-001-v1,42
T0345,Material Loading,Sunny,Intermediate,5.8,30.0,35.0,synthetic,34.3,Gravel,9.3,EXC002,OP1001,2025-05-21T07:31:00Z,data-001-v1,42
T0271,Trenching,Cloudy,Intermediate,6.9,51.0,52.0,synthetic,25.6,Gravel,22.9,EXC002,OP1001,2025-05-21T08:32:00Z,data-001-v1,42
T0194,Earth Excavation,Cloudy,Expert,2.1,57.0,63.0,synthetic,25.7,Sand,49.2,EXC001,OP1001,2025-05-21T09:21:00Z,data-001-v1,42
T0548,Demolition,Rainy,Intermediate,5.2,91.0,127.0,synthetic,35.8,Loam,27.4,EXC002,OP2001,2025-05-21T09:35:00Z,data-001-v1,42
T0464,Grading,Cloudy,Intermediate,5.7,37.0,39.0,synthetic,32.5,Sand,41.5,EXC002,OP2001,2025-05-21T12:12:00Z,data-001-v1,42
T0153,Earth Excavation,Rainy,Intermediate,2.7,65.0,79.0,synthetic,24.2,Loam,60.3,EXC001,OP1001,2025-05-21T12:22:00Z,data-001-v1,42
T0489,Grading,Cloudy,Expert,3.3,34.0,31.0,synthetic,23.1,Loam,44.9,EXC001,OP2001,2025-05-21T12:24:00Z,data-001-v1,42
T0450,Grading,Rainy,Intermediate,4.6,35.0,45.0,synthetic,18.0,Gravel,45.9,EXC002,OP1001,2025-05-21T14:08:00Z,data-001-v1,42
T0211,Trenching,Sunny,Beginner,6.1,42.0,62.0,synthetic,23.9,Loam,36.2,EXC002,OP2001,2025-05-21T15:09:00Z,data-001-v1,42
T0201,Earth Excavation,Windy,Expert,2.2,63.0,54.0,synthetic,36.9,Loam,12.5,EXC001,OP2001,2025-05-21T16:02:00Z,data-001-v1,42
T0553,Demolition,Cloudy,Intermediate,2.2,90.0,109.0,synthetic,20.9,Loam,23.8,EXC001,OP2001,2025-05-21T16:30:00Z,data-001-v1,42
T0170,Earth Excavation,Windy,Intermediate,1.7,59.0,73.0,synthetic,31.0,Loam,32.0,EXC001,OP2001,2025-05-22T06:50:00Z,data-001-v1,42
T0418,Grading,Rainy,Beginner,3.7,29.0,56.0,synthetic,30.9,Loam,31.4,EXC001,OP1001,2025-05-22T07:15:00Z,data-001-v1,42
T0176,Earth Excavation,Sunny,Expert,2.6,67.0,60.0,synthetic,26.3,Clay,22.5,EXC001,OP2001,2025-05-22T07:35:00Z,data-001-v1,42
T0232,Trenching,Cloudy,Beginner,1.6,42.0,31.0,synthetic,35.4,Clay,51.6,EXC001,OP1001,2025-05-22T13:22:00Z,data-001-v1,42
T0122,Earth Excavation,Cloudy,Beginner,6.5,63.0,81.0,synthetic,16.8,Sand,7.1,EXC002,OP2001,2025-05-22T14:39:00Z,data-001-v1,42
T0449,Grading,Rainy,Intermediate,3.3,38.0,45.0,synthetic,27.4,Clay,61.9,EXC001,OP2001,2025-05-22T14:47:00Z,data-001-v1,42
T0362,Material Loading,Cloudy,Intermediate,5.5,35.0,37.0,synthetic,42.7,Loam,31.8,EXC002,OP1001,2025-05-22T15:27:00Z,data-001-v1,42
T0223,Trenching,Rainy,Beginner,2.3,49.0,78.0,synthetic,20.8,Clay,29.1,EXC001,OP1001,2025-05-22T16:38:00Z,data-001-v1,42
T0439,Grading,Windy,Beginner,6.4,35.0,57.0,synthetic,32.7,Clay,34.9,EXC002,OP2001,2025-05-23T06:09:00Z,data-001-v1,42
T0275,Trenching,Windy,Intermediate,1.8,52.0,56.0,synthetic,24.8,Clay,39.4,EXC001,OP2001,2025-05-23T07:48:00Z,data-001-v1,42
T0545,Demolition,Rainy,Intermediate,4.9,85.0,92.0,synthetic,27.6,Loam,57.4,EXC002,OP2001,2025-05-23T07:58:00Z,data-001-v1,42
T0198,Earth Excavation,Cloudy,Expert,5.3,65.0,53.0,synthetic,32.0,Clay,46.4,EXC002,OP2001,2025-05-23T07:59:00Z,data-001-v1,42
T0563,Demolition,Windy,Intermediate,3.3,83.0,87.0,synthetic,26.4,Loam,39.9,EXC001,OP2001,2025-05-23T08:20:00Z,data-001-v1,42
T0306,Trenching,Windy,Expert,3.9,47.0,56.0,synthetic,23.9,Loam,10.2,EXC001,OP2001,2025-05-23T08:37:00Z,data-001-v1,42
T0143,Earth Excavation,Sunny,Intermediate,2.6,62.0,59.0,synthetic,21.4,Loam,36.4,EXC001,OP2001,2025-05-23T10:24:00Z,data-001-v1,42
T0364,Material Loading,Cloudy,Intermediate,2.3,33.0,34.0,synthetic,14.3,Sand,44.5,EXC001,OP2001,2025-05-23T12:11:00Z,data-001-v1,42
T0118,Earth Excavation,Rainy,Beginner,3.3,65.0,97.0,synthetic,16.8,Clay,63.5,EXC001,OP2001,2025-05-23T12:58:00Z,data-001-v1,42
T0369,Material Loading,Windy,Intermediate,5.6,31.0,42.0,synthetic,27.7,Gravel,48.4,EXC002,OP2001,2025-05-23T13:39:00Z,data-001-v1,42
T0214,Trenching,Sunny,Beginner,4.0,45.0,67.0,synthetic,26.2,Loam,33.7,EXC001,OP1001,2025-05-23T16:37:00Z,data-001-v1,42
T0317,Material Loading,Sunny,Beginner,5.9,34.0,43.0,synthetic,22.6,Sand,17.9,EXC002,OP1001,2025-05-23T16:52:00Z,data-001-v1,42
T0265,Trenching,Cloudy,Intermediate,6.8,47.0,53.0,synthetic,21.0,Loam,11.2,EXC002,OP1001,2025-05-23T17:12:00Z,data-001-v1,42
T0446,Grading,Sunny,Intermediate,6.8,35.0,45.0,synthetic,31.9,Loam,26.4,EXC002,OP1001,2025-05-23T17:37:00Z,data-001-v1,42
T0177,Earth Excavation,Sunny,Expert,5.5,66.0,53.0,synthetic,31.4,Loam,6.3,EXC002,OP2001,2025-05-24T07:24:00Z,data-001-v1,42
T0173,Earth Excavation,Sunny,Expert,3.6,60.0,61.0,synthetic,12.7,Gravel,20.2,EXC001,OP1001,2025-05-24T07:35:00Z,data-001-v1,42
T0411,Grading,Sunny,Beginner,6.6,34.0,49.0,synthetic,35.1,Sand,17.0,EXC002,OP1001,2025-05-24T08:39:00Z,data-001-v1,42
T0337,Material Loading,Windy,Beginner,3.4,31.0,28.0,synthetic,32.1,Loam,54.5,EXC001,OP2001,2025-05-24T10:08:00Z,data-001-v1,42
T0513,Demolition,Rainy,Beginner,4.5,79.0,126.0,synthetic,25.6,Sand,37.7,EXC002,OP1001,2025-05-24T11:51:00Z,data-001-v1,42
T0130,Earth Excavation,Windy,Beginner,5.8,56.0,81.0,synthetic,24.7,Loam,14.3,EXC002,OP1001,2025-05-24T12:40:00Z,data-001-v1,42
T0166,Earth Excavation,Windy,Intermediate,6.4,67.0,72.0,synthetic,13.5,Loam,24.7,EXC002,OP2001,2025-05-24T14:07:00Z,data-001-v1,42
T0429,Grading,Cloudy,Beginner,6.0,38.0,52.0,synthetic,28.5,Clay,50.6,EXC002,OP2001,2025-05-24T14:33:00Z,data-001-v1,42
T0381,Material Loading,Sunny,Expert,4.6,27.0,28.0,synthetic,9.2,Loam,11.2,EXC002,OP1001,2025-05-24T15:11:00Z,data-001-v1,42
T0575,Demolition,Sunny,Expert,5.4,106.0,83.0,synthetic,25.8,Sand,11.8,EXC002,OP2001,2025-05-24T15:50:00Z,data-001-v1,42
T0117,Earth Excavation,Rainy,Beginner,5.1,55.0,76.0,synthetic,30.6,Loam,59.9,EXC002,OP2001,2025-05-24T17:43:00Z,data-001-v1,42
T0347,Material Loading,Sunny,Intermediate,3.3,30.0,29.0,synthetic,31.8,Sand,17.2,EXC001,OP2001,2025-05-25T06:02:00Z,data-001-v1,42
T0227,Trenching,Cloudy,Beginner,2.1,43.0,62.0,synthetic,34.3,Loam,18.7,EXC001,OP1001,2025-05-25T07:14:00Z,data-001-v1,42
T0494,Grading,Cloudy,Expert,6.6,34.0,32.0,synthetic,29.5,Clay,24.4,EXC002,OP2001,2025-05-25T10:07:00Z,data-001-v1,42
T0388,Material Loading,Rainy,Expert,6.1,27.0,37.0,synthetic,38.0,Gravel,22.5,EXC002,OP2001,2025-05-25T11:23:00Z,data-001-v1,42
T0148,Earth Excavation,Rainy,Intermediate,2.7,58.0,69.0,synthetic,31.2,Loam,58.7,EXC001,OP1001,2025-05-25T12:06:00Z,data-001-v1,42
T0188,Earth Excavation,Rainy,Expert,6.3,60.0,69.0,synthetic,33.7,Loam,21.7,EXC002,OP2001,2025-05-25T12:23:00Z,data-001-v1,42
T0264,Trenching,Cloudy,Intermediate,3.2,47.0,54.0,synthetic,34.1,Gravel,32.6,EXC001,OP2001,2025-05-25T12:29:00Z,data-001-v1,42
T0416,Grading,Sunny,Beginner,2.4,33.0,49.0,synthetic,36.4,Gravel,51.8,EXC001,OP1001,2025-05-25T12:56:00Z,data-001-v1,42
T0133,Earth Excavation,Windy,Beginner,6.7,62.0,94.0,synthetic,13.6,Clay,9.7,EXC002,OP2001,2025-05-25T14:27:00Z,data-001-v1,42
T0530,Demolition,Windy,Beginner,3.1,79.0,150.0,synthetic,31.3,Loam,45.3,EXC001,OP2001,2025-05-25T15:32:00Z,data-001-v1,42
T0255,Trenching,Rainy,Intermediate,5.4,40.0,60.0,synthetic,14.9,Loam,34.0,EXC002,OP1001,2025-05-25T15:45:00Z,data-001-v1,42
T0272,Trenching,Windy,Intermediate,2.1,44.0,54.0,synthetic,27.3,Sand,23.9,EXC001,OP1001,2025-05-25T17:27:00Z,data-001-v1,42
T0346,Material Loading,Sunny,Intermediate,4.0,29.0,32.0,synthetic,13.6,Sand,25.6,EXC001,OP1001,2025-05-25T17:47:00Z,data-001-v1,42
T0600,Demolition,Windy,Expert,2.3,90.0,85.0,synthetic,31.4,Loam,44.0,EXC001,OP2001,2025-05-26T06:01:00Z,data-001-v1,42
T0492,Grading,Cloudy,Expert,2.7,37.0,37.0,synthetic,17.3,Loam,27.2,EXC001,OP2001,2025-05-26T07:40:00Z,data-001-v1,42
T0500,Grading,Windy,Expert,6.7,38.0,38.0,synthetic,35.2,Sand,51.6,EXC002,OP2001,2025-05-26T09:14:00Z,data-001-v1,42
T0187,Earth Excavation,Rainy,Expert,5.9,58.0,85.0,synthetic,35.9,Loam,33.9,EXC002,OP2001,2025-05-26T09:26:00Z,data-001-v1,42
T0162,Earth Excavation,Cloudy,Intermediate,5.3,64.0,86.0,synthetic,29.3,Gravel,18.7,EXC002,OP1001,2025-05-26T10:15:00Z,data-001-v1,42
T0584,Demolition,Rainy,Expert,3.7,91.0,82.0,synthetic,19.6,Loam,24.9,EXC001,OP2001,2025-05-26T12:00:00Z,data-001-v1,42
T0344,Material Loading,Windy,Beginner,6.4,31.0,42.0,synthetic,23.6,Loam,35.1,EXC002,OP1001,2025-05-26T14:18:00Z,data-001-v1,42
T0226,Trenching,Rainy,Beginner,4.9,44.0,83.0,synthetic,20.2,Clay,28.9,EXC002,OP1001,2025-05-26T15:18:00Z,data-001-v1,42
T0438,Grading,Windy,Beginner,2.2,38.0,47.0,synthetic,15.8,Clay,27.8,EXC001,OP2001,2025-05-26T15:45:00Z,data-001-v1,42
T0508,Demolition,Sunny,Beginner,4.8,81.0,111.0,synthetic,19.0,Clay,42.3,EXC002,OP2001,2025-05-26T16:00:00Z,data-001-v1,42
T0335,Material Loading,Cloudy,Beginner,3.2,27.0,40.0,synthetic,18.5,Sand,52.3,EXC001,OP1001,2025-05-26T16:18:00Z,data-001-v1,42
T0475,Grading,Sunny,Expert,3.5,40.0,36.0,synthetic,16.6,Loam,15.2,EXC001,OP2001,2025-05-27T06:59:00Z,data-001-v1,42
T0138,Earth Excavation,Sunny,Intermediate,4.6,65.0,60.0,synthetic,29.5,Loam,30.1,EXC002,OP1001,2025-05-27T07:06:00Z,data-001-v1,42
T0163,Earth Excavation,Cloudy,Intermediate,2.7,60.0,62.0,synthetic,22.7,Sand,26.0,EXC001,OP2001,2025-05-27T07:52:00Z,data-001-v1,42
T0183,Earth Excavation,Rainy,Expert,2.8,69.0,71.0,synthetic,35.5,Gravel,44.3,EXC001,OP1001,2025-05-27T10:00:00Z,data-001-v1,42
T0352,Material Loading,Sunny,Intermediate,3.1,26.0,40.0,synthetic,31.4,Loam,11.3,EXC001,OP2001,2025-05-27T11:23:00Z,data-001-v1,42
T0322,Material Loading,Rainy,Beginner,3.3,32.0,49.0,synthetic,24.5,Clay,50.8,EXC001,OP2001,2025-05-27T15:13:00Z,data-001-v1,42
T0592,Demolition,Cloudy,Expert,5.1,92.0,72.0,synthetic,13.9,Loam,27.3,EXC002,OP2001,2025-05-27T15:16:00Z,data-001-v1,42
T0206,Earth Excavation,Windy,Expert,4.0,62.0,55.0,synthetic,17.0,Sand,35.6,EXC001,OP2001,2025-05-27T17:44:00Z,data-001-v1,42
T0260,Trenching,Rainy,Intermediate,4.5,43.0,55.0,synthetic,27.0,Clay,23.3,EXC002,OP1001,2025-05-28T06:17:00Z,data-001-v1,42
T0132,Earth Excavation,Windy,Beginner,3.0,61.0,107.0,synthetic,34.6,Gravel,47.4,EXC001,OP2001,2025-05-28T06:52:00Z,data-001-v1,42
T0550,Demolition,Rainy,Intermediate,4.7,84.0,124.0,synthetic,35.6,Clay,40.3,EXC002,OP2001,2025-05-28T07:07:00Z,data-001-v1,42
T0452,Grading,Rainy,Intermediate,3.5,31.0,46.0,synthetic,24.7,Sand,65.2,EXC001,OP2001,2025-05-28T07:26:00Z,data-001-v1,42
T0142,Earth Excavation,Sunny,Intermediate,6.2,62.0,79.0,synthetic,8.1,Loam,48.8,EXC002,OP1001,2025-05-28T07:34:00Z,data-001-v1,42
T0536,Demolition,Windy,Beginner,2.9,86.0,150.0,synthetic,25.7,Clay,35.8,EXC001,OP1001,2025-05-28T07:58:00Z,data-001-v1,42
T0498,Grading,Windy,Expert,1.8,34.0,37.0,synthetic,29.7,Sand,7.0,EXC001,OP2001,2025-05-28T11:12:00Z,data-001-v1,42
T0531,Demolition,Windy,Beginner,5.1,80.0,121.0,synthetic,31.3,Loam,41.1,EXC002,OP1001,2025-05-28T11:23:00Z,data-001-v1,42
T0422,Grading,Rainy,Beginner,5.1,35.0,48.0,synthetic,29.3,Sand,28.4,EXC002,OP1001,2025-05-28T11:37:00Z,data-001-v1,42
T0204,Earth Excavation,Windy,Expert,2.6,64.0,75.0,synthetic,35.1,Clay,26.7,EXC001,OP1001,2025-05-28T11:58:00Z,data-001-v1,42
T0129,Earth Excavation,Windy,Beginner,6.3,58.0,91.0,synthetic,25.1,Sand,54.0,EXC002,OP1001,2025-05-28T12:12:00Z,data-001-v1,42
T0146,Earth Excavation,Rainy,Intermediate,4.9,62.0,63.0,synthetic,12.7,Loam,42.7,EXC002,OP1001,2025-05-28T13:33:00Z,data-001-v1,42
T0547,Demolition,Rainy,Intermediate,5.2,79.0,109.0,synthetic,27.8,Sand,44.9,EXC002,OP1001,2025-05-28T15:57:00Z,data-001-v1,42
T0560,Demolition,Cloudy,Intermediate,2.4,97.0,88.0,synthetic,34.7,Loam,8.2,EXC001,OP1001,2025-05-28T17:08:00Z,data-001-v1,42
T0392,Material Loading,Rainy,Expert,2.5,27.0,35.0,synthetic,24.2,Loam,47.4,EXC001,OP1001,2025-05-28T17:21:00Z,data-001-v1,42
T0539,Demolition,Sunny,Intermediate,4.9,98.0,95.0,synthetic,36.3,Loam,11.3,EXC002,OP2001,2025-05-29T09:35:00Z,data-001-v1,42
T0342,Material Loading,Windy,Beginner,5.3,33.0,39.0,synthetic,32.2,Loam,9.4,EXC002,OP1001,2025-05-29T09:49:00Z,data-001-v1,42
T0268,Trenching,Cloudy,Intermediate,1.9,44.0,47.0,synthetic,33.7,Sand,45.1,EXC001,OP1001,2025-05-29T10:13:00Z,data-001-v1,42
T0353,Material Loading,Rainy,Intermediate,6.4,33.0,42.0,synthetic,18.9,Sand,56.1,EXC002,OP2001,2025-05-29T11:00:00Z,data-001-v1,42
T0326,Material Loading,Rainy,Beginner,6.2,24.0,54.0,synthetic,19.0,Clay,24.9,EXC002,OP1001,2025-05-29T13:11:00Z,data-001-v1,42
T0304,Trenching,Cloudy,Expert,2.2,44.0,40.0,synthetic,35.8,Sand,34.7,EXC001,OP1001,2025-05-29T15:07:00Z,data-001-v1,42
T0386,Material Loading,Rainy,Expert,3.8,30.0,27.0,synthetic,20.6,Sand,48.6,EXC001,OP2001,2025-05-29T15:13:00Z,data-001-v1,42
T0367,Material Loading,Cloudy,Intermediate,6.9,31.0,38.0,synthetic,26.0,Sand,51.6,EXC002,OP2001,2025-05-29T15:22:00Z,data-001-v1,42
T0414,Grading,Sunny,Beginner,1.8,38.0,45.0,synthetic,22.1,Sand,45.0,EXC001,OP2001,2025-05-29T17:24:00Z,data-001-v1,42
T0457,Grading,Cloudy,Intermediate,1.6,31.0,47.0,synthetic,30.9,Clay,26.3,EXC001,OP2001,2025-05-29T17:35:00Z,data-001-v1,42
T0278,Trenching,Windy,Intermediate,6.9,48.0,58.0,synthetic,18.2,Gravel,51.3,EXC002,OP2001,2025-05-30T07:10:00Z,data-001-v1,42
T0506,Demolition,Sunny,Beginner,6.6,106.0,121.0,synthetic,22.8,Loam,36.4,EXC002,OP1001,2025-05-30T08:56:00Z,data-001-v1,42
T0404,Material Loading,Windy,Expert,4.6,27.0,30.0,synthetic,34.5,Loam,37.6,EXC002,OP2001,2025-05-30T10:05:00Z,data-001-v1,42
T0316,Material Loading,Sunny,Beginner,1.8,26.0,32.0,synthetic,29.1,Gravel,17.9,EXC001,OP1001,2025-05-30T11:15:00Z,data-001-v1,42
T0202,Earth Excavation,Windy,Expert,2.0,63.0,68.0,synthetic,17.0,Sand,23.8,EXC001,OP2001,2025-05-30T11:46:00Z,data-001-v1,42
T0384,Material Loading,Sunny,Expert,6.5,31.0,22.0,synthetic,21.0,Sand,37.6,EXC002,OP2001,2025-05-30T12:06:00Z,data-001-v1,42
T0213,Trenching,Sunny,Beginner,3.7,43.0,60.0,synthetic,13.5,Loam,48.6,EXC001,OP2001,2025-05-30T13:21:00Z,data-001-v1,42
T0370,Material Loading,Windy,Intermediate,3.7,30.0,34.0,synthetic,27.9,Sand,14.9,EXC001,OP1001,2025-05-30T14:36:00Z,data-001-v1,42
T0467,Grading,Windy,Intermediate,6.5,37.0,40.0,synthetic,28.2,Sand,14.1,EXC002,OP2001,2025-05-30T17:07:00Z,data-001-v1,42
T0487,Grading,Rainy,Expert,2.7,35.0,43.0,synthetic,22.9,Clay,61.8,EXC001,OP2001,2025-05-30T17:26:00Z,data-001-v1,42
T0541,Demolition,Sunny,Intermediate,3.8,83.0,104.0,synthetic,26.2,Clay,21.2,EXC001,OP2001,2025-05-30T17:30:00Z,data-001-v1,42
T0269,Trenching,Cloudy,Intermediate,3.5,40.0,55.0,synthetic,18.5,Clay,32.8,EXC001,OP2001,2025-05-31T08:10:00Z,data-001-v1,42
T0395,Material Loading,Cloudy,Expert,5.3,35.0,32.0,synthetic,19.0,Clay,10.0,EXC002,OP1001,2025-05-31T09:09:00Z,data-001-v1,42
T0215,Trenching,Sunny,Beginner,2.0,46.0,56.0,synthetic,19.0,Gravel,39.1,EXC001,OP2001,2025-05-31T09:23:00Z,data-001-v1,42
T0107,Earth Excavation,Sunny,Beginner,2.1,61.0,45.0,synthetic,26.3,Loam,5.8,EXC001,OP2001,2025-05-31T10:40:00Z,data-001-v1,42
T0554,Demolition,Cloudy,Intermediate,6.7,97.0,100.0,synthetic,18.9,Loam,27.3,EXC002,OP2001,2025-05-31T12:38:00Z,data-001-v1,42
T0241,Trenching,Windy,Beginner,4.9,48.0,80.0,synthetic,26.3,Loam,7.3,EXC002,OP1001,2025-05-31T12:51:00Z,data-001-v1,42
T0209,Trenching,Sunny,Beginner,6.5,42.0,62.0,synthetic,31.6,Loam,22.0,EXC002,OP2001,2025-05-31T13:23:00Z,data-001-v1,42
T0417,Grading,Rainy,Beginner,5.5,38.0,54.0,synthetic,13.4,Gravel,37.4,EXC002,OP2001,2025-05-31T14:15:00Z,data-001-v1,42
T0534,Demolition,Windy,Beginner,2.5,92.0,122.0,synthetic,22.2,Loam,9.8,EXC001,OP1001,2025-05-31T14:54:00Z,data-001-v1,42
T0455,Grading,Rainy,Intermediate,1.6,39.0,40.0,synthetic,26.4,Gravel,46.9,EXC001,OP2001,2025-05-31T15:56:00Z,data-001-v1,42
T0472,Grading,Windy,Intermediate,2.2,35.0,46.0,synthetic,27.0,Clay,49.5,EXC001,OP1001,2025-05-31T16:11:00Z,data-001-v1,42
T0196,Earth Excavation,Cloudy,Expert,1.8,63.0,66.0,synthetic,23.3,Gravel,11.8,EXC001,OP2001,2025-05-31T16:27:00Z,data-001-v1,42
T0590,Demolition,Cloudy,Expert,5.0,74.0,91.0,synthetic,29.9,Loam,21.0,EXC002,OP2001,2025-05-31T17:14:00Z,data-001-v1,42
T0116,Earth Excavation,Rainy,Beginner,2.9,69.0,78.0,synthetic,17.4,Loam,23.7,EXC001,OP2001,2025-05-31T17:16:00Z,data-001-v1,42
T0208,Earth Excavation,Windy,Expert,5.2,53.0,68.0,synthetic,15.0,Gravel,44.3,EXC002,OP1001,2025-06-01T06:02:00Z,data-001-v1,42
T0398,Material Loading,Cloudy,Expert,4.9,29.0,25.0,synthetic,20.3,Sand,38.5,EXC002,OP1001,2025-06-01T07:23:00Z,data-001-v1,42
T0267,Trenching,Cloudy,Intermediate,6.8,41.0,50.0,synthetic,24.1,Loam,48.7,EXC002,OP1001,2025-06-01T07:32:00Z,data-001-v1,42
T0407,Material Loading,Windy,Expert,3.8,28.0,42.0,synthetic,12.8,Clay,20.3,EXC001,OP1001,2025-06-01T08:06:00Z,data-001-v1,42
T0341,Material Loading,Windy,Beginner,3.1,35.0,28.0,synthetic,25.3,Clay,27.2,EXC001,OP1001,2025-06-01T08:37:00Z,data-001-v1,42
T0573,Demolition,Sunny,Expert,6.1,95.0,93.0,synthetic,37.2,Loam,26.9,EXC002,OP2001,2025-06-01T10:12:00Z,data-001-v1,42
